NomeListino;CifraIn;CifraOut;Margine;Settore;CostoTrasp;CostoTraspBo;TipoListForn;Note;ID;Chiusura
TOP;270.01;300.00;11.00;MotoScooter;0.00;0.00;72H;null;264;0x00000001C1AD1F96
TOP;300.01;9999.00;22.00;Vettura;4.70;3.00;24H;null;265;0x00000001FEB3544F
TOP;300.01;9999.00;22.00;Vettura;4.70;3.00;48H;null;266;0x00000001FEB35450
TOP;300.01;9999.00;22.00;Vettura;0.00;0.00;72H;null;267;0x000000020DF4F163
TOP;300.01;9999.00;11.00;MotoScooter;7.50;4.00;24H;null;268;0x00000001C1AD1F9A
TOP;300.01;9999.00;11.00;MotoScooter;7.50;4.00;48H;null;269;0x00000001C1AD1F9B
TOP;300.01;9999.00;11.00;MotoScooter;0.00;0.00;72H;null;270;0x00000001C1AD1F9C
BASE;0.00;30.00;6.00;Vettura;4.70;3.00;72H_CST;null;271;0x000000036E3667B2
BASE;0.00;30.00;5.00;MotoScooter;7.50;4.00;72H_CST;null;272;0x000000020DF4F0C9
BASE;0.00;223.00;25.00;Autocarro;13.00;7.00;72H_CST;null;273;0x000000020A06E02F
BASE;30.01;40.00;8.00;Vettura;4.70;3.00;72H_CST;null;274;0x000000036E366E8C
BASE;30.01;40.00;7.00;MotoScooter;7.50;4.00;72H_CST;null;275;0x0000000368063CA8
BASE;40.01;50.00;9.00;Vettura;4.70;3.00;72H_CST;null;276;0x000000036E366E90
BASE;40.01;50.00;8.00;MotoScooter;7.50;4.00;72H_CST;null;277;0x0000000368063CC1
BASE;50.01;60.00;10.00;Vettura;4.70;3.00;72H_CST;null;278;0x000000036E366E94
BASE;50.01;60.00;9.00;MotoScooter;7.50;4.00;72H_CST;null;279;0x000000020DF4F0EE
BASE;60.01;75.00;12.00;Vettura;4.70;3.00;72H_CST;null;280;0x000000036E366E98
BASE;60.01;75.00;10.00;MotoScooter;7.50;4.00;72H_CST;null;281;0x000000020DF4F0FC
BASE;75.01;90.00;14.00;Vettura;4.70;3.00;72H_CST;null;282;0x000000036E366E9C
BASE;75.01;90.00;11.00;MotoScooter;7.50;4.00;72H_CST;null;283;0x000000020DF4F118
BASE;90.01;110.00;16.00;Vettura;4.70;3.00;72H_CST;null;284;0x000000036E366EA1
