Articolo__r:Product2:External_Id__c;Codice_fornitore__c;Descrizione_fornitore__c;Ranking_fornitore__c;Disponibile__c;Impegnato__c;In_spedizione__c;Conto_deposito_fornitore_Distribuzione__c;Conto_deposito_fornitore_pdv__c;Costo__c;Prezzo_di_listino__c;Prezzo_PDV__c;PAC__c
516414;UNI;Univergomma;6;30;0;0;0;0;67.77;126.50;114.42;60.11
516414;UNI;Univergomma;6;30;0;0;0;0;67.77;126.50;114.42;60.11
516414;UNI;Univergomma;6;30;0;0;0;0;67.77;126.50;114.42;60.11
524825;UNI;Univergomma;3;10;0;0;0;0;104.05;179.00;169.36;96.12
97821;UNI;Univergomma;1;1;0;0;0;0;81.86;150.50;0;0.00
523143;UNI;Univergomma;1;3;0;0;0;0;87.10;169.00;160.54;88.89
512426;UNI;Univergomma;3;15;0;0;0;0;77.35;117.50;116.75;64.50
516415;UNI;Univergomma;4;16;0;0;0;0;52.67;92.00;91.39;43.71
516405;UNI;Univergomma;2;3;0;0;0;0;58.37;108.50;104.44;50.06
520319;UNI;Univergomma;3;19;0;0;0;0;71.36;136.50;122.5;64.86
521891;UNI;Univergomma;4;4;0;0;0;0;86.59;164.00;142.35;81.13
524733;UNI;Univergomma;4;1;0;0;0;0;144.79;278.00;258.86;136.78
527493;UNI;Univergomma;6;20;0;0;0;0;148.77;294.00;234.92;139.56
59657;UNI;Univergomma;5;2;0;0;0;0;107.81;270.00;195.78;98.52
520022;UNI;Univergomma;4;30;0;0;0;0;241.31;433.00;342.84;194.42
523313;UNI;Univergomma;6;30;0;0;0;0;145.87;255.00;218.07;116.79
507634;UNI;Univergomma;6;1;0;0;0;0;88.95;222.00;172.06;85.80
512556;UNI;Univergomma;1;2;0;0;0;0;106.52;286.00;202.6;110.83
507665;UNI;Univergomma;4;15;0;0;0;0;155.71;418.00;291.3;152.17
517171;UNI;Univergomma;2;8;0;0;0;0;202.84;551.00;359.14;202.18
521467;UNI;Univergomma;6;1;0;0;0;0;143.47;370.00;258.05;136.12
521491;UNI;Univergomma;3;2;0;0;0;0;198.31;519.00;337.62;190.14
58968;UNI;Univergomma;4;1;0;0;0;0;99.85;176.00;179.47;91.87
58969;UNI;Univergomma;4;2;0;0;0;0;102.45;180.00;182.02;93.96
521934;UNI;Univergomma;2;7;0;0;0;0;105.29;203.50;185.29;96.64
