IDARTICO;QTTN;PdvUltImp;DataUltImp
587888;0;null;null
565746;0;null;null
577632;0;null;null
563420;0;null;null
584507;0;null;null
63330;0;null;null
523687;0;null;null
501130;0;null;null
575330;0;null;null
599465;0;null;null
607315;0;null;null
616986;0;null;null
552142;0;null;null
586483;0;null;null
582880;0;null;null
605221;0;null;null
564119;0;null;null
581903;0;null;null
501203;0;null;null
586366;0;null;null
510015;0;null;null
501145;0;null;null
501251;0;null;null
501151;0;null;null
501358;0;null;null
571595;0;null;null
611769;0;null;null
583602;0;null;null
609884;0;null;null
520257;0;null;null
586485;0;null;null
575976;0;null;null
547306;2;BG6 CSPT - Impegno Cliente BG6 (Bologna Gomme6 CSP);45783
526327;0;null;null
595608;0;null;null
501360;0;null;null
519570;0;null;null
573147;0;null;null
551913;0;null;null
569042;0;null;null
584494;0;null;null
609659;0;null;null
552851;0;null;null
512534;0;null;null
560081;0;null;null
501204;0;null;null
552853;0;null;null
501329;0;null;null
598676;0;null;null
582883;0;null;null
601818;0;null;null
526328;0;null;null
605576;0;null;null
599484;0;null;null
501172;0;null;null
601749;0;null;null
523682;0;null;null
570853;0;null;null
612391;0;null;null
546310;0;null;null
609048;0;null;null
571775;0;null;null
549622;0;null;null
583924;0;null;null
573383;0;null;null
571909;4;BG1 - Impegno Cliente BG1 (Bologna Gomme1);45814
599151;0;null;null
589027;0;null;null
501279;0;null;null
567976;0;null;null
553167;0;null;null
99907;0;null;null
586074;0;null;null
597936;0;null;null
575389;0;null;null
585331;0;null;null
582879;0;null;null
501121;0;null;null
586484;0;null;null
501390;0;null;null
591338;70;CIIB5 - T4TYRES BV;45818
