IdTbl;Targa;Posizione;Id;SoloTarga;Qta;Elaborato;IdAbbinato;DepositiLiberi;TargaDoppia;NonElaborareTargaDoppia;Note;PosizioneMultipla;Chiusura;PDV
220;GV131SX-251059;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20581F;null
221;GM027EW-245582;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205820;null
222;GK354FT-245577;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205821;null
223;GS534XA;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205822;null
224;BG1. FILA 7;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205823;null
225;GR729XA-247181;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205824;null
226;GX869EG-249880;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205825;null
227;GB990GY-247191;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205826;null
228;GT529ZZ;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205827;null
229;GX390KH-250160;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205828;null
230;GH391EY-249930;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205829;null
231;GK924FJ-249895;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20582A;null
232;GK699GB-245175;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20582B;null
233;GG384XN-245196;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20582C;null
234;FY537FW-242216;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20582D;null
235;FW987WY-242199;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20582E;null
236;GV515HE-245004;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20582F;null
237;GJ502DL-228700;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205830;null
238;EF456GS-242223;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205831;null
239;N5582-242249;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205832;null
240;GT686DL-242211;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205833;null
241;GT827GG-242266;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205834;null
242;GM144PS-245537;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205835;null
243;GG281JC-218019;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205836;null
244;GH399PG-234752;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205837;null
245;GV761LN-244955;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205838;null
246;GR812ML-245008;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205839;null
247;FH860ER-250077;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20583A;null
248;GR893YJ-250070;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20583B;null
249;GH002PY-247539;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20583C;null
250;GS092XD-242277;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20583D;null
251;GA075KM-236059;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20583E;null
252;GD283RE-249064;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20583F;null
253;GW299WD-247843;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205840;null
254;GG717RA-236481;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205841;null
255;GP341SX-244924;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205842;null
256;GR217VH-244995;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205843;null
257;DR087FB;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205844;null
258;BG1. FILA 8;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205845;null
259;GW917LS-244662;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205846;null
260;GP627KX-240642;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205847;null
261;GP764FR-244667;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205848;null
262;GM447MX-244675;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205849;null
263;GS457JM-244885;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20584A;null
264;GN208FJ-244825;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20584B;null
265;GL363PS-244854;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20584C;null
266;FB148TE-244858;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20584D;null
267;GL875ZZ-244674;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20584E;null
268;GL812ZR-245050;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20584F;null
269;GA252NL-212477;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205850;null
270;GG778RS-216032;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205851;null
271;GB859NZ-232140;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205852;null
272;GX159KJ-247173;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205853;null
273;FZ965RM-213311;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205854;null
274;GR211EZ-230438;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205855;null
275;GN680SB-232189;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205856;null
276;DM575ZD-250775;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205857;null
277;GA389MY-250171;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205858;null
278;GS711YN-251047;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205859;null
279;GR056HG-250783;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20585A;null
280;GN411ZY-250872;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20585B;null
281;GN625DA-249408;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20585C;null
282;GB072GY-217207;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20585D;null
283;GA227PJ-249716;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20585E;null
284;GP631KX-249464;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20585F;null
285;GT055ZW-247874;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205860;null
286;GJ571YW-247851;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205861;null
287;GC311PC-228120;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205862;null
288;GL568XA-244290;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205863;null
289;GM147GY-250760;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205864;null
290;FN659LS-214675;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205865;null
291;GJ405PR-244784;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205866;null
292;GL565VE-244746;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205867;null
293;GP649KX-250865;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205868;null
294;BG1. FILA 9;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205869;null
295;GL413ZN-251061;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20586A;null
296;GN930GX-249936;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20586B;null
297;GS917JS-249855;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20586C;null
298;GT421MA-244807;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20586D;null
299;GT963ZW-244749;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20586E;null
300;GP630KX-244771;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20586F;null
301;GL765ZN-247562;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205870;null
