classificatore1	classificatore2	classificatore3	classificatore4	ART_ID	ART_CAI	SETTORE_ID	SETTORE	MARCA_ID	MARCA	ART_CODICE	IND_CARICO	IND_VELOCITA	Ext_XL	Disegno	Ext_EAN	ext_Misura	DESCR_DIRECT	ART_STAGIONE	ART_STAGIONEShort	STAART	Decibel	Rumorosita	Rotolamento	Aderenza	IdIc	IdIv	IDARTCLA1	IDARTCLA2	IDARTCLA3	IDARTCLA4	Ext_Fascia
null	null	null	null	501121	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7ASV               	null	null	null	null	null	null	CONVERGENZA ANTERIORE LEASING 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501121	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7ASV               	null	null	null	null	null	null	CONVERGENZA ANTERIORE LEASING 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501128	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7ASC               	null	null	null	null	null	null	CONVERGENZA COMPLETA LEASING 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501128	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7ASC               	null	null	null	null	null	null	CONVERGENZA COMPLETA LEASING 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501128	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7ASC               	null	null	null	null	null	null	CONVERGENZA COMPLETA LEASING 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501128	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7ASC               	null	null	null	null	null	null	CONVERGENZA COMPLETA LEASING 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501128	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7ASC               	null	null	null	null	null	null	CONVERGENZA COMPLETA LEASING 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501137	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7EQUIVET           	null	null	null	null	null	null	EQUILIBRATURA PNEUMATICO VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501137	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7EQUIVET           	null	null	null	null	null	null	EQUILIBRATURA PNEUMATICO VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501137	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7EQUIVET           	null	null	null	null	null	null	EQUILIBRATURA PNEUMATICO VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501144	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7INV               	null	null	null	null	null	null	INVERSIONE+EQULIBRATURA PN VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501144	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7INV               	null	null	null	null	null	null	INVERSIONE+EQULIBRATURA PN VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501144	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7INV               	null	null	null	null	null	null	INVERSIONE+EQULIBRATURA PN VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501185	null	105	MECCANICA VETTURA - 4X4 - TL            	10009	MECCANICA LEGGERA                       	@7RICV              	null	null	null	null	null	null	RICAMBIO MECCANICA GENERICO 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501188	null	10026	REVISIONI                               	10004	REVISIONE                               	@7REV1              	null	null	null	null	null	null	VersamentoRevisione MCTC 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501188	null	10026	REVISIONI                               	10004	REVISIONE                               	@7REV1              	null	null	null	null	null	null	VersamentoRevisione MCTC 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501211	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALV              	null	null	null	null	null	null	VALVOLA TBL VETTURA - 4X4 - TL 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501234	null	105	MECCANICA VETTURA - 4X4 - TL            	10009	MECCANICA LEGGERA                       	@7FILTROARIA        	null	null	null	null	null	null	FILTRO ARIA VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501235	null	105	MECCANICA VETTURA - 4X4 - TL            	10009	MECCANICA LEGGERA                       	@7FILTROOLIO        	null	null	null	null	null	null	FILTRO OLIO VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501236	null	105	MECCANICA VETTURA - 4X4 - TL            	10009	MECCANICA LEGGERA                       	@7FILTROABI         	null	null	null	null	null	null	FILTRO ABITACOLO VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	501237	null	105	MECCANICA VETTURA - 4X4 - TL            	10009	MECCANICA LEGGERA                       	@7FILTROCARB        	null	null	null	null	null	null	FILTRO CARBURANTE VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
