Id_Articoli	Art_IdSchedaLavoro	Art_IdVeicolo	Art_IdArtico	Art_Codice	Art_Qta	Art_Misura	Art_Descrizione	Art_DOT	Art_Prezzo	Art_Fascia	Art_Marca	Art_CD_IdLotto	Art_PrezzoUnit	Art_LottoForzato	Art_Chiusura	Art_PrezzoRigaImp
975301	444666	171590	575330	@NOTE	1.00		N. Ordine acquisto: 3614114		0	X	ACCESSORI	NULL	0.00	NULL	0x000000002820229B	0.00
1127854	505233	171590	583925	@MS_STAG_DEP	4.00		"MONTAGGIO STAGIONALE CERCHIO DA 20"" A SALIRE (DEP)"		24,4	X	MANODOPERA                              	NULL	5.00	NULL	0x000000003F878665	20.00
1127855	505233	171590	501137	@7EQUIVET	4.00		EQUILIBRATURA PNEUMATICO		29,28	X	MANODOPERA                              	NULL	6.00	NULL	0x000000003F87866C	24.00
1064058	479279	171590	597291	3253522-PIR-4203000	2.00	3253522	325/35R22 114Y XL (A8B) (e) PIRELLI P-ZERO (PZ4)	524	1381,72	A 	PIRELLI                                 	NULL	566.28	NULL	0x000000003452AE3A	1132.56
1064059	479279	171590	583925	@MS_STAG_DEP	2.00		"MONTAGGIO STAGIONALE CERCHIO DA 20"" A SALIRE (DEP)"		12,2	X	MANODOPERA                              	NULL	5.00	NULL	0x000000003452AE43	10.00
1064060	479279	171590	501137	@7EQUIVET	4.00		EQUILIBRATURA PNEUMATICO		29,28	X	MANODOPERA                              	NULL	6.00	NULL	0x000000003FDA266B	24.00
1135755	479279	171590	575330	@NOTE	1.00		N. Ordine acquisto: P409850820		0	X	ACCESSORI	NULL	0.00	NULL	0x000000003FDA265B	0.00
1226505	540304	171590	593852	2854022-PIR-4218500	2.00	2854022	285/40R22 110Y XL PIRELLI P-ZERO (PZ4)	825	884,11	A 	PIRELLI                                 	NULL	362.34	NULL	0x000000004D98D7AE	724.68
1226506	540304	171590	597316	3253522-PIR-4251200	2.00	3253522	325/35R22 114Y XL PIRELLI P-ZERO (PZ4)	825	1269,41	A 	PIRELLI                                 	NULL	520.25	NULL	0x000000004D98D7AF	1040.50
1226561	540304	171590	501137	@7EQUIVET	4.00		EQUILIBRATURA PNEUMATICO		29,28	X	MANODOPERA                              	NULL	6.00	NULL	0x000000004D98D7AB	24.00
1226562	540304	171590	575330	@NOTE	1.00		N. Ordine acquisto: P510638976		0	X	ACCESSORI	NULL	0.00	NULL	0x000000004D98D7AC	0.00
1070846	481630	171590	579588	2854022-PIR-3109700	2.00	2854022	285/40R22 110Y XL (A8B) (E) PIRELLI P-ZERO (PZ4)	524	1374,48	A 	PIRELLI                                 	NULL	563.31	NULL	0x00000000350DE2BD	1126.62
1070847	481630	171590	597291	3253522-PIR-4203000	1.00	3253522	325/35R22 114Y XL (A8B) (E) PIRELLI P-ZERO (PZ4)	524	690,86	A 	PIRELLI                                 	NULL	566.28	NULL	0x00000000350DE265	566.28
1070875	481630	171590	571588	@7RIGC22	2.00		"RIGENERAZIONE COMPLETA 22"""		976	X	RIGENERAZIONE                           	NULL	400.00	1	0x00000000350DE2C1	800.00
1071301	481630	171590	501137	@7EQUIVET	3.00		EQUILIBRATURA PNEUMATICO		21,96	X	MANODOPERA                              	NULL	6.00	NULL	0x00000000350DE291	18.00
1071302	481630	171590	575330	@NOTE	1.00		N. Ordine acquisto: P409983577		0	X	ACCESSORI	NULL	0.00	NULL	0x00000000350DE294	0.00
